,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
674,674,41,male,1,own,quite rich,,2580,21,business,bad
983,983,26,male,2,own,little,little,8229,36,car,bad
31,31,27,male,2,own,little,little,4020,24,furniture/equipment,good
50,50,29,male,1,own,,moderate,2333,24,furniture/equipment,good
654,654,35,male,2,own,little,,2346,24,car,good
220,220,26,male,1,own,little,moderate,625,12,radio/TV,good
244,244,35,female,1,own,quite rich,,3447,12,education,good
475,475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
261,261,55,female,2,own,little,little,1603,24,radio/TV,good
430,430,74,male,1,own,little,,3448,5,business,good
834,834,25,female,1,own,little,rich,2327,15,radio/TV,bad
897,897,35,female,2,own,rich,,1592,12,furniture/equipment,good
36,36,31,male,2,free,little,,6110,48,education,good
942,942,31,male,2,own,,,929,24,furniture/equipment,good
260,260,27,male,2,own,little,little,1657,12,furniture/equipment,good
518,518,43,male,2,own,moderate,little,1203,6,car,good
624,624,65,male,2,free,little,little,2600,18,radio/TV,bad
506,506,36,male,2,own,quite rich,rich,2360,15,car,good
715,715,63,male,2,own,,,7596,30,car,good
551,551,45,male,1,own,quite rich,,1750,6,radio/TV,good
48,48,39,male,1,own,little,,7228,11,car,good
514,514,54,male,2,own,,,2255,24,car,good
184,184,36,male,2,own,little,moderate,884,18,car,bad
151,151,38,male,2,own,little,,1924,10,radio/TV,good
495,495,20,male,2,own,,little,2996,24,furniture/equipment,bad
252,252,24,female,2,own,little,moderate,2150,30,car,bad
87,87,47,male,2,free,moderate,moderate,12612,36,education,bad
599,599,32,male,2,free,little,,3863,24,business,good
732,732,44,female,1,own,little,moderate,760,8,radio/TV,good
55,55,26,male,1,own,,,783,6,car,good
47,47,23,female,0,rent,quite rich,little,1352,6,car,good
207,207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
635,635,47,male,2,own,little,,1393,12,education,good
413,413,40,male,1,rent,quite rich,,1597,10,car,good
305,305,33,male,2,own,rich,,1543,6,furniture/equipment,good
165,165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
319,319,27,female,1,own,little,little,3643,15,furniture/equipment,good
687,687,30,male,2,free,moderate,moderate,2862,36,car,good
180,180,28,male,2,own,little,,9572,36,business,bad
993,993,30,male,3,own,little,little,3959,36,furniture/equipment,good
170,170,33,male,2,rent,little,little,950,15,car,bad
56,56,52,male,3,own,,moderate,6468,12,radio/TV,bad
721,721,24,female,2,rent,rich,moderate,433,6,education,bad
694,694,28,male,2,own,little,,2284,24,radio/TV,good
61,61,50,male,2,own,,moderate,1537,15,radio/TV,good
217,217,23,male,2,own,little,rich,3913,36,radio/TV,good
302,302,37,male,1,own,,rich,1344,24,car,bad
152,152,24,male,2,own,little,rich,5848,36,radio/TV,good
310,310,40,male,0,free,,moderate,5381,48,vacation/others,good
586,586,36,male,2,rent,little,little,2799,9,car,good
580,580,30,male,2,own,little,moderate,1056,18,car,bad
952,952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
509,509,45,male,3,own,moderate,,8588,39,car,good
931,931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
477,477,25,male,2,own,little,rich,5152,24,radio/TV,good
190,190,54,male,3,own,rich,,4591,24,business,bad
169,169,31,male,2,own,little,moderate,1935,24,business,bad
200,200,52,male,2,own,quite rich,,936,9,education,good
27,27,42,female,2,rent,rich,rich,409,12,radio/TV,good
606,606,74,male,3,own,little,,4526,24,business,good
480,480,23,female,1,own,little,moderate,3573,12,radio/TV,good
157,157,45,male,1,own,little,little,339,12,education,good
25,25,36,male,1,own,little,little,1374,6,furniture/equipment,good
651,651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
907,907,27,male,2,own,,moderate,3711,36,education,good
33,33,57,male,1,rent,,,1264,12,business,good
924,924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
683,683,47,male,2,free,little,,5103,24,radio/TV,good
391,391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
630,630,28,female,2,own,little,little,3660,24,radio/TV,good
325,325,39,male,1,own,little,little,3398,8,car,good
491,491,42,female,3,free,little,moderate,8318,27,business,bad
366,366,27,male,2,own,little,,3850,18,car,good
696,696,29,male,2,own,little,moderate,1103,12,radio/TV,good
878,878,27,male,3,free,little,little,1422,9,car,bad
176,176,42,male,2,own,little,little,2577,12,furniture/equipment,good
548,548,24,female,1,own,little,little,626,12,radio/TV,bad
352,352,38,male,3,own,,,3229,18,car,good
850,850,33,male,2,rent,little,little,2235,20,car,bad
222,222,30,male,2,own,little,,707,12,radio/TV,good
964,964,22,male,1,own,little,moderate,454,6,repairs,good
892,892,38,male,1,own,little,little,2171,12,car,good
299,299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
461,461,36,male,2,own,little,little,1721,15,car,good
139,139,44,female,1,rent,little,rich,1881,12,radio/TV,good
214,214,51,male,2,own,,,3342,36,radio/TV,good
712,712,46,male,3,own,,,2476,21,car,good
709,709,37,male,1,own,little,moderate,2118,9,radio/TV,good
544,544,61,male,1,own,little,,1255,12,car,good
128,128,34,male,3,own,little,moderate,1860,12,car,good
853,853,32,male,1,free,little,little,1442,18,car,bad
859,859,26,male,2,rent,moderate,,3577,9,car,good
211,211,45,female,1,own,,,3835,36,radio/TV,good
782,782,31,male,1,own,little,moderate,1410,12,education,good
977,977,42,male,2,own,,moderate,2427,18,business,good
141,141,30,female,3,own,little,moderate,4795,36,radio/TV,good
714,714,27,male,3,own,little,moderate,14027,60,car,bad
699,699,40,male,3,rent,little,rich,1905,15,education,good
202,202,26,male,2,own,little,,5117,27,business,good
723,723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
440,440,39,male,3,own,little,,1884,12,car,good
810,810,26,male,2,own,little,moderate,907,8,business,good
125,125,30,male,2,own,little,little,2121,12,car,good
468,468,26,female,2,own,little,,2764,33,business,good
192,192,36,male,2,own,little,moderate,3915,27,business,bad
838,838,63,male,2,own,little,little,2957,24,car,good
870,870,40,female,2,own,quite rich,,7678,36,furniture/equipment,good
75,75,66,male,3,free,little,little,1526,12,car,good
153,153,29,female,2,rent,rich,moderate,7758,24,car,good
154,154,36,male,3,rent,moderate,moderate,6967,24,business,good
871,871,46,male,2,own,little,rich,1343,6,car,good
532,532,41,male,2,rent,little,,1503,12,car,good
690,690,25,male,2,own,little,little,975,15,furniture/equipment,good
14,14,28,female,2,rent,little,little,1403,15,car,good
481,481,26,male,2,own,little,moderate,1201,24,car,good
250,250,39,female,1,own,rich,little,666,6,car,good
300,300,54,female,0,own,little,,672,6,car,good
743,743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
82,82,24,female,1,rent,moderate,,1568,18,business,good
529,529,41,male,1,own,little,little,662,6,car,good
24,24,26,male,2,own,,,2069,10,furniture/equipment,good
301,301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
802,802,24,female,2,own,little,little,4272,20,furniture/equipment,good
971,971,43,male,1,own,little,,7393,24,car,good
175,175,53,female,3,own,,,7485,30,car,bad
99,99,36,male,3,rent,,moderate,7057,20,car,good
447,447,35,male,2,own,little,moderate,2576,7,radio/TV,good
122,122,24,male,1,rent,little,,1768,12,furniture/equipment,good
446,446,34,female,2,own,little,little,1842,36,car,bad
340,340,24,female,2,free,little,moderate,5743,24,education,good
238,238,35,female,2,own,little,,1291,12,radio/TV,good
70,70,30,female,2,own,little,,8133,36,car,good
806,806,26,male,1,own,little,moderate,590,6,radio/TV,good
876,876,36,male,3,free,little,little,1940,18,radio/TV,good
442,442,29,male,2,own,little,moderate,2629,20,vacation/others,good
23,23,44,male,2,own,moderate,moderate,1804,12,car,good
145,145,30,male,2,own,moderate,moderate,3566,48,business,good
471,471,23,female,2,own,little,little,448,6,education,bad
282,282,49,male,1,own,,rich,1445,18,radio/TV,good
809,809,26,female,0,rent,little,moderate,1778,15,car,bad
736,736,23,female,3,rent,little,moderate,11560,24,car,bad
371,371,33,male,2,own,little,,6070,18,radio/TV,good
706,706,24,male,2,own,moderate,moderate,6560,48,car,bad
370,370,36,male,2,own,,,3079,36,car,good
700,700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
357,357,26,male,3,own,little,,4463,36,radio/TV,bad
390,390,30,male,3,own,little,,1820,18,car,good
636,636,28,female,2,own,quite rich,,1376,24,radio/TV,good
195,195,34,female,3,own,little,moderate,1501,9,education,bad
752,752,23,female,1,rent,moderate,moderate,841,12,business,good
162,162,36,male,2,own,quite rich,,1262,15,domestic appliances,good
995,995,31,female,1,own,little,,1736,12,furniture/equipment,good
67,67,22,male,2,own,rich,moderate,1007,12,car,good
955,955,57,female,3,rent,rich,little,1231,24,radio/TV,good
333,333,24,female,1,rent,moderate,,11590,48,car,bad
812,812,24,male,2,own,little,little,9629,36,car,bad
418,418,31,female,3,own,quite rich,,2782,21,car,good
814,814,46,male,2,free,little,little,3931,48,car,bad
134,134,21,female,2,own,moderate,,10144,60,radio/TV,good
164,164,36,male,2,own,quite rich,,909,36,car,good
394,394,31,male,3,own,little,,2406,9,furniture/equipment,good
186,186,74,female,3,free,little,moderate,5129,9,car,bad
875,875,40,female,2,own,rich,moderate,1322,11,car,good
563,563,37,male,2,free,,moderate,12389,36,car,bad
138,138,35,male,2,own,,moderate,2728,15,radio/TV,good
866,866,27,female,2,own,little,little,2389,18,radio/TV,good
228,228,22,male,2,own,little,,1478,9,radio/TV,bad
409,409,28,male,2,own,quite rich,rich,939,12,car,bad
368,368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
572,572,26,female,3,rent,,,5433,24,car,good
922,922,22,female,2,rent,little,little,1366,9,radio/TV,bad
918,918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
556,556,28,female,2,own,moderate,moderate,2278,18,car,bad
619,619,49,male,1,own,little,,640,12,car,good
815,815,54,female,2,rent,little,moderate,7432,36,car,good
673,673,24,male,2,own,quite rich,,2080,6,car,good
256,256,35,male,1,own,little,,2684,24,radio/TV,good
879,879,36,male,2,own,,,6742,30,radio/TV,good
759,759,35,male,2,own,little,little,691,12,car,bad
949,949,31,male,2,own,moderate,,3621,24,radio/TV,bad
524,524,26,female,1,own,little,moderate,1113,18,radio/TV,good
546,546,37,female,2,own,little,,2022,24,car,good
788,788,50,male,2,free,little,moderate,6224,48,education,bad
978,978,47,male,1,own,little,,2538,24,car,bad
914,914,31,male,2,rent,little,little,3161,24,business,bad
65,65,48,male,2,own,,,5190,27,repairs,good
590,590,58,female,1,own,little,little,385,12,radio/TV,good
100,100,41,male,1,rent,moderate,,1469,24,car,good
383,383,26,male,2,own,little,rich,1330,12,car,good
969,969,40,male,1,own,little,little,3939,11,car,good
962,962,29,male,2,own,,,3556,15,car,good
378,378,57,male,3,free,little,moderate,14318,36,car,bad
377,377,36,male,2,free,,,846,7,radio/TV,good
71,71,46,male,1,rent,,,730,7,radio/TV,good
449,449,61,male,2,own,rich,moderate,1512,15,repairs,bad
523,523,23,female,2,own,moderate,,3488,24,car,good
293,293,56,male,2,free,little,rich,4796,42,car,good
566,566,36,male,2,own,little,little,1372,12,car,bad
985,985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
804,804,24,female,0,rent,,moderate,7472,12,car,good
92,92,33,female,1,own,,,797,12,radio/TV,bad
386,386,21,female,2,rent,,,1126,18,radio/TV,good
777,777,25,female,2,own,little,little,3509,18,radio/TV,good
959,959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
80,80,44,female,2,own,,,5943,24,radio/TV,bad
10,10,25,female,2,rent,little,moderate,1295,12,car,bad
347,347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
464,464,34,male,2,own,little,,1950,18,business,good
381,381,38,female,3,free,little,moderate,12976,18,car,bad
615,615,48,male,3,own,,moderate,12204,48,business,good
356,356,49,male,2,own,,,2331,12,radio/TV,good
231,231,51,male,1,free,quite rich,,2507,9,car,good
998,998,23,male,2,free,little,little,1845,45,radio/TV,bad
219,219,64,female,2,own,little,,1364,10,car,good
59,59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
705,705,35,female,2,free,quite rich,,5324,15,car,good
968,968,29,male,2,rent,,,7166,42,radio/TV,good
836,836,21,female,2,own,,,886,12,radio/TV,good
131,131,29,male,2,own,little,little,6887,36,education,bad
455,455,29,female,3,own,little,,2679,24,car,good
188,188,20,male,2,own,moderate,little,674,12,radio/TV,bad
257,257,29,male,2,free,little,little,2149,12,radio/TV,bad
337,337,24,female,2,rent,,little,1275,15,domestic appliances,bad
940,940,45,male,3,own,,,3527,12,car,good
991,991,34,male,1,own,moderate,,1569,15,radio/TV,good
549,549,35,male,2,free,,,8858,48,car,good
248,248,26,male,2,own,little,rich,1925,24,furniture/equipment,good
561,561,24,male,1,rent,little,little,1546,24,radio/TV,bad
727,727,25,female,2,rent,little,little,1882,18,radio/TV,bad
194,194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
133,133,47,male,2,free,little,,1984,18,furniture/equipment,good
584,584,52,female,3,free,,,2133,12,car,good
4,4,53,male,2,free,little,little,4870,24,car,bad
923,923,30,male,2,rent,little,moderate,2002,12,car,good
341,341,26,female,1,rent,little,little,3599,21,furniture/equipment,good
69,69,25,female,2,own,,,2394,36,radio/TV,good
119,119,36,male,3,own,quite rich,moderate,2366,12,car,good
98,98,36,male,2,own,little,moderate,2337,36,radio/TV,good
77,77,51,male,2,own,little,moderate,4771,11,radio/TV,good
374,374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
245,245,25,male,2,own,little,,1258,24,business,good
768,768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
528,528,31,male,2,rent,little,little,2302,36,radio/TV,bad
862,862,35,female,2,own,little,little,2439,24,radio/TV,bad
657,657,37,male,2,own,,,10222,48,radio/TV,good
6,6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good
474,474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
29,29,63,male,2,own,little,little,6836,60,business,bad
269,269,25,male,2,own,,,999,24,radio/TV,good
280,280,23,male,2,rent,rich,,3368,15,car,good
348,348,34,male,1,own,moderate,,1743,6,business,good
884,884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
60,60,27,male,2,own,little,moderate,1391,9,business,good
681,681,37,male,2,free,,,2279,12,radio/TV,good
554,554,67,female,3,own,little,moderate,1199,9,education,good
620,620,27,male,2,own,little,moderate,3652,21,business,good
668,668,43,male,2,rent,little,little,4843,12,car,bad
724,724,21,female,2,rent,little,,2570,27,car,bad
868,868,37,male,2,own,,,7409,36,business,good
198,198,36,male,2,free,,moderate,2760,24,car,good
504,504,24,female,2,rent,little,little,1207,24,car,bad
365,365,36,male,2,own,little,,1542,12,business,good
159,159,34,male,1,own,,,1898,6,radio/TV,good
634,634,25,female,1,own,little,moderate,1355,24,car,bad
19,19,31,male,2,own,quite rich,,3430,24,radio/TV,good
486,486,52,male,2,own,little,,3077,12,radio/TV,good
395,395,32,male,2,rent,moderate,moderate,11760,39,education,good
262,262,36,male,3,free,little,little,5302,18,car,good
638,638,34,female,2,own,little,,1493,12,radio/TV,good
631,631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
818,818,43,male,3,own,little,little,15857,36,vacation/others,good
941,941,31,male,1,own,little,,1546,10,car,good
883,883,65,female,0,own,little,,1098,18,radio/TV,good
323,323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
844,844,47,male,2,own,little,,3422,18,furniture/equipment,good
208,208,21,male,1,own,little,little,6568,24,business,good
46,46,39,male,2,own,quite rich,,2299,36,radio/TV,good
320,320,28,male,3,own,little,moderate,4249,30,car,bad
738,738,45,male,3,own,little,,6761,6,car,good
989,989,48,male,1,own,little,moderate,1743,24,radio/TV,good
327,327,34,female,2,own,rich,,1525,24,car,good
385,385,25,female,2,own,little,,2238,18,radio/TV,good
53,53,31,male,2,own,,,3378,18,car,good
212,212,50,male,2,own,little,little,5293,27,business,bad
929,929,43,male,1,own,little,little,1344,12,car,good
376,376,34,male,2,own,little,,2320,18,radio/TV,good
127,127,30,male,2,own,little,moderate,639,12,repairs,bad
511,511,32,male,3,free,little,,4686,36,car,good
489,489,26,male,2,rent,little,,3518,6,car,good
659,659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
26,26,39,male,1,own,little,,426,6,radio/TV,good
444,444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
540,540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
835,835,48,male,2,own,little,little,1082,12,car,bad
987,987,64,female,2,own,moderate,,1409,13,radio/TV,good
389,389,27,female,2,own,little,,1449,9,business,good
588,588,47,male,1,own,little,little,1217,18,domestic appliances,bad
653,653,42,male,3,own,moderate,moderate,8086,36,car,bad
543,543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
550,550,23,female,2,own,,,996,12,repairs,good
779,779,67,female,2,own,little,moderate,3872,18,repairs,good
676,676,33,male,2,own,little,,5150,24,furniture/equipment,good
860,860,27,male,2,own,rich,,5804,24,car,good
947,947,38,male,3,own,,,2859,12,car,good
112,112,28,male,1,rent,little,moderate,6260,18,car,good
869,869,24,female,2,rent,little,little,652,12,furniture/equipment,good
963,963,35,male,2,own,quite rich,,2397,24,radio/TV,bad
966,966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
735,735,29,female,0,own,,moderate,3990,36,domestic appliances,good
627,627,29,male,2,own,moderate,moderate,1437,9,car,bad
746,746,23,female,2,rent,little,little,2511,15,car,good
975,975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
730,730,33,male,2,own,little,moderate,6403,24,radio/TV,good
297,297,45,male,1,own,,,1287,10,car,good
785,785,35,male,1,own,rich,moderate,1941,18,business,good
321,321,32,male,2,own,little,little,1938,24,radio/TV,bad
596,596,23,female,2,rent,little,little,1442,24,car,bad
961,961,47,male,2,own,little,moderate,2353,21,car,good
91,91,54,male,2,own,little,little,1409,12,car,good
263,263,57,female,1,free,little,,2748,12,education,good
577,577,33,female,2,own,,,1927,24,education,good
496,496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
798,798,54,male,2,own,,,717,24,car,good
680,680,56,female,2,own,little,,1538,6,education,good
718,718,31,male,2,own,,rich,3148,24,radio/TV,good
467,467,32,male,2,own,,,7238,48,radio/TV,good
829,829,38,male,2,free,,moderate,6681,48,business,good
296,296,20,female,2,rent,,,4675,12,car,good
235,235,30,male,3,own,little,little,1823,24,radio/TV,bad
633,633,19,female,2,rent,little,,1980,9,furniture/equipment,bad
